Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1965 [YR1965],1970 [YR1970],1975 [YR1975],1980 [YR1980],1985 [YR1985],1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010]
Afghanistan,AFG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,1124.684306,1693.770199
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,14.78499985,14.9659996,14.50899982,16.11100006,14.70899963
Afghanistan,AFG,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,86.67500305,86.39600372,86.52200317,87.10199738,86.54499817
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,..,..,..,..,..,..,51.39199829,51.88399887,51.64199829,53.01300049,51.65399933
Albania,ALB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,4558.33313,4129.655126,5442.153872,7425.537185,9927.15286
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,53.59000015,53.5019989,51.7179985,48.05099869,45.69300079
Albania,ALB,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,74.41600037,73.68000031,73.59999847,67.90200043,62.98400116
Albania,ALB,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,..,..,..,..,..,..,64.22200012,63.24100113,62.70100021,57.90299988,54.27099991
Algeria,DZA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,10236.84066,9295.420114,10211.00186,12322.48426,12870.6027
Algeria,DZA,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,11.49600029,11.8039999,11.89299965,12.84300041,14.37899971
Algeria,DZA,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,76.44599915,77.72299957,74.64700317,71.78299713,70.04599762
Algeria,DZA,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,..,..,..,..,..,..,44.16500092,45.02199936,43.57300186,42.53900146,42.36199951
American Samoa,ASM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..
