regioncode,region,countrycode,country
EAS,East Asia & Pacific,ASM,American Samoa
EAS,East Asia & Pacific,AUS,Australia
EAS,East Asia & Pacific,BRN,Brunei Darussalam
EAS,East Asia & Pacific,CHN,China
EAS,East Asia & Pacific,FJI,Fiji
EAS,East Asia & Pacific,FSM,"Micronesia, Fed. Sts."
EAS,East Asia & Pacific,GUM,Guam
EAS,East Asia & Pacific,HKG,"Hong Kong SAR, China"
EAS,East Asia & Pacific,IDN,Indonesia
EAS,East Asia & Pacific,JPN,Japan
EAS,East Asia & Pacific,KHM,Cambodia
EAS,East Asia & Pacific,KIR,Kiribati
EAS,East Asia & Pacific,KOR,"Korea, Rep."
EAS,East Asia & Pacific,LAO,Lao PDR
EAS,East Asia & Pacific,MAC,"Macao SAR, China"
EAS,East Asia & Pacific,MHL,Marshall Islands
EAS,East Asia & Pacific,MMR,Myanmar
EAS,East Asia & Pacific,MNG,Mongolia
EAS,East Asia & Pacific,MNP,Northern Mariana Islands
EAS,East Asia & Pacific,MYS,Malaysia
EAS,East Asia & Pacific,NCL,New Caledonia
EAS,East Asia & Pacific,NRU,Nauru
EAS,East Asia & Pacific,NZL,New Zealand
EAS,East Asia & Pacific,PHL,Philippines
EAS,East Asia & Pacific,PLW,Palau
EAS,East Asia & Pacific,PNG,Papua New Guinea
EAS,East Asia & Pacific,PRK,"Korea, Dem. People's Rep."
EAS,East Asia & Pacific,PYF,French Polynesia
EAS,East Asia & Pacific,SGP,Singapore
EAS,East Asia & Pacific,SLB,Solomon Islands
EAS,East Asia & Pacific,THA,Thailand
EAS,East Asia & Pacific,TLS,Timor-Leste
EAS,East Asia & Pacific,TON,Tonga
EAS,East Asia & Pacific,TUV,Tuvalu
EAS,East Asia & Pacific,TWN,"Taiwan, China"
EAS,East Asia & Pacific,VNM,Vietnam
EAS,East Asia & Pacific,VUT,Vanuatu
EAS,East Asia & Pacific,WSM,Samoa
ECS,Europe & Central Asia,ALB,Albania
ECS,Europe & Central Asia,AND,Andorra
ECS,Europe & Central Asia,ARM,Armenia
ECS,Europe & Central Asia,AUT,Austria
ECS,Europe & Central Asia,AZE,Azerbaijan
ECS,Europe & Central Asia,BEL,Belgium
ECS,Europe & Central Asia,BGR,Bulgaria
ECS,Europe & Central Asia,BIH,Bosnia and Herzegovina
ECS,Europe & Central Asia,BLR,Belarus
ECS,Europe & Central Asia,CHE,Switzerland
ECS,Europe & Central Asia,CHI,Channel Islands
ECS,Europe & Central Asia,CYP,Cyprus
ECS,Europe & Central Asia,CZE,Czech Republic
ECS,Europe & Central Asia,DEU,Germany
ECS,Europe & Central Asia,DNK,Denmark
ECS,Europe & Central Asia,ESP,Spain
ECS,Europe & Central Asia,EST,Estonia
ECS,Europe & Central Asia,FIN,Finland
ECS,Europe & Central Asia,FRA,France
ECS,Europe & Central Asia,FRO,Faroe Islands
ECS,Europe & Central Asia,GBR,United Kingdom
ECS,Europe & Central Asia,GEO,Georgia
ECS,Europe & Central Asia,GIB,Gibraltar
ECS,Europe & Central Asia,GRC,Greece
ECS,Europe & Central Asia,GRL,Greenland
ECS,Europe & Central Asia,HRV,Croatia
ECS,Europe & Central Asia,HUN,Hungary
ECS,Europe & Central Asia,IMN,Isle of Man
ECS,Europe & Central Asia,IRL,Ireland
ECS,Europe & Central Asia,ISL,Iceland
ECS,Europe & Central Asia,ITA,Italy
ECS,Europe & Central Asia,KAZ,Kazakhstan
ECS,Europe & Central Asia,KGZ,Kyrgyz Republic
ECS,Europe & Central Asia,LIE,Liechtenstein
ECS,Europe & Central Asia,LTU,Lithuania
ECS,Europe & Central Asia,LUX,Luxembourg
ECS,Europe & Central Asia,LVA,Latvia
ECS,Europe & Central Asia,MCO,Monaco
ECS,Europe & Central Asia,MDA,Moldova
ECS,Europe & Central Asia,MKD,"Macedonia, FYR"
ECS,Europe & Central Asia,MNE,Montenegro
ECS,Europe & Central Asia,NLD,Netherlands
ECS,Europe & Central Asia,NOR,Norway
ECS,Europe & Central Asia,POL,Poland
ECS,Europe & Central Asia,PRT,Portugal
ECS,Europe & Central Asia,ROU,Romania
ECS,Europe & Central Asia,RUS,Russian Federation
ECS,Europe & Central Asia,SMR,San Marino
ECS,Europe & Central Asia,SRB,Serbia
ECS,Europe & Central Asia,SVK,Slovak Republic
ECS,Europe & Central Asia,SVN,Slovenia
ECS,Europe & Central Asia,SWE,Sweden
ECS,Europe & Central Asia,TJK,Tajikistan
ECS,Europe & Central Asia,TKM,Turkmenistan
ECS,Europe & Central Asia,TUR,Turkey
ECS,Europe & Central Asia,UKR,Ukraine
ECS,Europe & Central Asia,UZB,Uzbekistan
ECS,Europe & Central Asia,XKX,Kosovo
LCN,Latin America & Caribbean,ABW,Aruba
